a52dec 0.7.4-11
aalib 1.4rc5-14
abcde 2.9.3-3
accounts-qml-module 0.7-3
ack 3.4.0-1
acl 2.2.53-3
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
alsa-card-profiles 14.0-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
aom 2.0.0-1
apache 2.4.46-3
apr 1.7.0-3
apr-util 1.6.1-8
arandr 0.1.10-4
archey3 0.5-10
archlinux-keyring 20201028-1
argon2 20190702-3
arm-none-eabi-binutils 2.35.1-1
arm-none-eabi-gcc 10.2.0-1
arm-none-eabi-newlib 3.3.0-1
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attica 5.76.0-1
attr 2.4.48-3
audacity 1:2.4.1-4
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
autorandr 1.11-1
avahi 0.8+15+ge8a3dd0-1
avr-binutils 2.35.1-1
avr-gcc 10.2.0-1
avr-libc 2.0.0-4
avrdude 1:6.3-7
b43-fwcutter 019-3
bash 5.0.018-1
bc 1.07.1-4
bdf-spleen 1.7.0-1
binutils 2.35.1-1
bison 3.7.2-1
blas 3.9.0-3
bluez 5.55-1
bluez-libs 5.55-1
bluez-utils 5.55-1
boost-libs 1.72.0-2
brotli 1.0.9-2
btrfs-progs 5.9-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.59-1
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cairo-perl 1.107-2
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
cd-discid 1.4-3
cdparanoia 10.2-8
chromium 87.0.4280.66-1
cifs-utils 6.11-1
clang 11.0.0-1
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gtk 1.8.4-2
cmark-gfm 0.29.0.gfm.0-2
cogl 1.22.8-1
colord 1.4.5-1
colord-sane 1.4.5-1
compiler-rt 11.0.0-1
confuse 3.3-2
conky 1.11.6-1
cool-retro-term 1.1.1-2
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.4-1
cuneiform 1.1.0-20
cups 2.3.3+106+ga72b0140e-1
cups-filters 1.28.5-3
cups-pdf 3.0.1-5
curl 7.73.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
ddcutil 0.9.9-1
desktop-file-utils 0.26-1
